b1;b2;obj
-0.198552245;0.35613963;0.9501
-0.194970659;0.40788501;0.9536
-0.17391663;0.424887064;0.9559
-0.146911956;0.43412731;0.9561
-0.14249203;0.398275154;0.9557
-0.152782988;0.33100616;0.9535
-0.166645978;0.378685832;0.9540
-0.157684581;0.317700205;0.9530
-0.186393003;0.341355236;0.9507
-0.17990443;0.304394251;0.9480
